MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A																									
																									
Data Acquisition			"110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2495"", Thicko=0.124"""			Time:	150.17358	Sec	11/9/2011 15:22																
Time	Axial Displacement	Axial Strain	Axial Force																						
Sec	in	in/in	lbf																						
15.360596	0.045574088	0.004240077	1436.5518																						
15.390625	0.045625009	0.004260626	1433.4017																						
15.420654	0.045728263	0.004294983	1433.5157																						
15.450684	0.045879386	0.004342698	1435.3691																						
15.480713	0.045944385	0.004388856	1438.5645																						
15.510742	0.045918807	0.004414221	1437.5571																						
15.540771	0.046125311	0.004469886	1440.0758																						
15.570801	0.046238888	0.004516431	1441.291																						
15.60083	0.046265878	0.004551071	1441.9819																						
15.630859	0.046404094	0.00457801	1442.1648																						
15.660889	0.04647848	0.004621726	1444.4132																						
15.690918	0.046507109	0.004665036	1444.4386																						
15.720947	0.046622567	0.004702923	1446.3389																						
15.750977	0.046731919	0.004741151	1446.8522																						
15.781006	0.046786126	0.00478787	1447.929																						
15.811035	0.046904866	0.004817164	1448.1415																						
15.841064	0.046950392	0.004853435	1452.424																						
